,tech_startups,city,country,latitude,longitude,starbucks,starbucks_lat,starbucks_lon,airport,air_lat,air_lon,daycare,daycare_lat,daycare_lon,nightclub,nightclub_lat,nightclub_lon,vegan_restaurant,vegan_restaurant_lat,vegan_restaurant_lon
0,Wetpaint,Seattle,USA,47.603122,-122.333253,Starbucks,47.6041558,-122.3308269,Seattle-Tacoma International Airport,47.4502499,-122.3088165,Cosmopolitan Kids Downtown Academy,47.60568610000001,-122.3349966,Trinity,47.6015129,-122.3332959,Cafe Zum Zum,47.6046546,-122.3334554
1,Wesabe,San Francisco,USA,37.793148,-122.402567,Starbucks,37.792183,-122.40377,San Francisco International Airport,37.6213129,-122.3789554,Bright Horizons,37.7921109,-122.4039273,Club Blend,37.7919436,-122.4045169,Enjoy Vegetarian,37.7958182,-122.4052477
2,Pando Networks,New York,USA,40.722655,-73.99873,Starbucks,40.722553,-73.997942,John F. Kennedy International Airport,40.6413111,-73.77813909999999,SoHo Child Care,40.7233739,-74.0010602,GoldBar,40.72037479999999,-73.99711769999999,Le Botaniste,40.7204931,-74.0002294
3,Livestream,New York,USA,40.726155,-73.995625,Starbucks,40.727212,-73.995485,John F. Kennedy International Airport,40.6413111,-73.77813909999999,Sompit Child Care,40.7278058,-73.9979716,House of Hunter,40.7247377,-73.9976564,Siggy's Good Food,40.7247506,-73.9931241
4,Netvibes,Paris,FRA,48.870806,2.34668,Starbucks,48.8706754,2.3469117,Paris-Charles De Gaulle,49.0096906,2.5479245,Municipal Collective Nursery - Thorel,48.8696886,2.3490649,S.i.r.,48.87044479999999,2.347435,Vietnam In Paris,48.8684136,2.3478697
5,FeedBurner,Chicago,USA,41.889474,-87.628912,Starbucks,41.89016000000001,-87.63125099999999,Chicago Midway International Airport,41.78677589999999,-87.7521884,Nannies of Children's Learning Place,41.889873,-87.627482,Underground,41.890952,-87.630203,LYFE Kitchen,41.889843,-87.63084700000002
6,TVtrip,Paris,FRA,48.856667,2.350987,Starbucks,48.8568201,2.3548934,Paris-Charles De Gaulle,49.0096906,2.5479245,Day Care Municipal - Lobau,48.8560309,2.3529509,Le Klub,48.859106,2.3479023,Wild & The Moon @ Lafayette Anticipations,48.8591834,2.354776
7,Loomia,San Francisco,USA,37.796396,-122.404869,Starbucks,37.794632,-122.402728,San Francisco International Airport,37.6213129,-122.3789554,Wu Yee Children's Services - Lok Yuen CDC & Joy Lok FRC,37.7941834,-122.4076891,HUE,37.797948,-122.4047847,Enjoy Vegetarian,37.7958182,-122.4052477
8,Eventbrite,San Francisco,USA,37.779507,-122.39071,Starbucks,37.777035,-122.393641,San Francisco International Airport,37.6213129,-122.3789554,Wonderful Children Day Care,37.7822907,-122.3888066,LL World HQ,37.7824195,-122.3951131,SAJJ Mediterranean SoMa,37.781306,-122.391719
9,Seesmic,San Francisco,USA,37.775196,-122.419204,Starbucks,37.7770595,-122.417347,San Francisco International Airport,37.6213129,-122.3789554,Marin Day Schools Market Street,37.7772044,-122.4173489,"THEX RELIGIOÚZ ROMEX, ITALIAX!",37.7749295,-122.4194155,Ananda Fuara,37.7778739,-122.4162916
10,spigit,Reston,USA,38.9590083,-77.3592746,Starbucks,38.958891,-77.35914,Dulles International Airport,38.9531162,-77.45653879999999,"Winwood Children's Center, Reston",38.960974,-77.35936699999999,Hyatt Regency Conservatory Lounge,38.9585928,-77.3561096,sweetgreen,38.9577044,-77.3595079
11,Curse,San Francisco,USA,37.787092,-122.399972,Starbucks,37.787764,-122.401087,San Francisco International Airport,37.6213129,-122.3789554,American Child Care Services,37.78939560000001,-122.3997317,Harlot,37.7885694,-122.3981969,The Dosa Brothers: Montgomery Street,37.7889981,-122.4018906
12,Vuze,San Mateo,USA,37.4858654,-122.2262606,Starbucks Reserve,37.486332,-122.229944,San Francisco International Airport,37.6213129,-122.3789554,Footsteps Child Care Inc,37.4852151,-122.226868,Club Caliente,37.4870427,-122.2229391,Vesta,37.486806,-122.226791
13,Tangler,Mountain View,USA,37.386665,-122.084171,Starbucks,37.387571,-122.083068,Norman Y. Mineta San Jose International Airport,37.3639472,-121.9289375,Safari Kid - Mountain View,37.3867586,-122.0850181,Mountain view Masonic lodge,37.389414,-122.0841778,Amici's East Coast Pizzeria,37.3873831,-122.0833853
14,Revver,Los Angeles,USA,34.052187,-118.243425,Starbucks,34.050984,-118.242338,Los Angeles International Airport,33.9415889,-118.40853,Joy Picus Child Development Center,34.0522706,-118.2425831,my house,34.0522342,-118.2436849,California Pita,34.0534439,-118.2412663
15,Dropbox,San Francisco,USA,37.7909427,-122.4084994,Starbucks,37.789348,-122.406831,San Francisco International Airport,37.6213129,-122.3789554,Chinatown Community Children's Center,37.7938275,-122.4091552,Love + Propaganda,37.7887903,-122.4065981,Hermanos Coffee + Juice,37.7929116,-122.4052114
16,Kongregate,San Francisco,USA,37.786942,-122.401245,Starbucks,37.787764,-122.401087,San Francisco International Airport,37.6213129,-122.3789554,American Child Care Services,37.78939560000001,-122.3997317,Temple Nightclub San Francisco,37.787956,-122.3972472,The Dosa Brothers: Montgomery Street,37.7889981,-122.4018906
17,Yola,San Francisco,USA,37.7911148,-122.3954751,Starbucks Reserve,37.791511,-122.395103,San Francisco International Airport,37.6213129,-122.3789554,Pacific Gas Children's Center,37.7921285,-122.3966794,Temple Nightclub San Francisco,37.787956,-122.3972472,Elixiria,37.7920646,-122.3967288
18,BitTorrent,San Francisco,USA,37.790998,-122.394668,Starbucks Reserve,37.791511,-122.395103,San Francisco International Airport,37.6213129,-122.3789554,Bright Horizons at 221 Main,37.79034,-122.392263,Temple Nightclub San Francisco,37.787956,-122.3972472,Elixiria,37.7920646,-122.3967288
19,Vlingo,Cambridge,USA,42.372912,-71.118999,Starbucks Reserve,42.373333,-71.119214,Boston Logan International Airport,42.3656132,-71.0095602,Radcliffe Child Care Center,42.370429,-71.1161876,Club Latinos Fridays,42.3741948,-71.1206496,Veggie Grill,42.3720936,-71.1207503
20,Docstoc,Santa Monica,USA,34.018275,-118.495025,Starbucks,34.0157416,-118.4965857,Los Angeles International Airport,33.9415889,-118.40853,Knowledge Universe,34.0178262,-118.4971913,West End,34.0185186,-118.4956006,Sunnin Lebanese Cuisine,34.0178511,-118.4936347
21,Shock Treatment Management,Seattle,USA,47.610332,-122.339859,Starbucks,47.6090095,-122.3399417,Seattle-Tacoma International Airport,47.4502499,-122.3088165,Pike Market Child Care & Preschool,47.6083435,-122.3416313,Joseph Boy toy,47.6084268,-122.3405616,Veggie Grill,47.6098817,-122.3366367
22,MocoSpace,Boston,USA,42.350274,-71.058768,Starbucks,42.35223999999999,-71.05597,Boston Logan International Airport,42.3656132,-71.0095602,Bright Horizons at Tufts Medical Center,42.3490058,-71.06237589999999,Savvor Restaurant and Lounge,42.3505467,-71.0583752,Oath Pizza - South Station,42.351621,-71.055256
23,Thumbplay,New York,USA,40.725435,-73.997395,Starbucks,40.727212,-73.995485,John F. Kennedy International Airport,40.6413111,-73.77813909999999,SoHo Child Care,40.7233739,-74.0010602,House of Hunter,40.7247377,-73.9976564,by CHLOE.,40.7227818,-73.9972192
24,OMGPOP,New York,USA,40.723384,-74.001704,Starbucks,40.722553,-73.997942,John F. Kennedy International Airport,40.6413111,-73.77813909999999,SoHo Child Care,40.7233739,-74.0010602,Socialista New York,40.7235775,-74.00301139999999,Dr Smood,40.7228582,-74.00130759999999
25,Animoto,New York,USA,40.72948,-74.000195,Starbucks,40.730715,-74.002585,John F. Kennedy International Airport,40.6413111,-73.77813909999999,Manhattan Kid's Club III,40.73193879999999,-74.0005599,Groove,40.7305855,-74.0002232,Sacred Chow,40.729616,-73.99949
26,Xobni,San Francisco,USA,37.789634,-122.404052,Starbucks,37.7884614,-122.4034092,San Francisco International Airport,37.6213129,-122.3789554,Bright Horizons,37.7921109,-122.4039273,Love + Propaganda,37.7887903,-122.4065981,Baladie Gourmet Cafe,37.791349,-122.404405
27,Worklight,New York,USA,40.756799,-73.976348,Starbucks,40.757077,-73.97596899999999,John F. Kennedy International Airport,40.6413111,-73.77813909999999,Bright Horizons at E46th St,40.7538188,-73.9732642,Le Chalet,40.7582534,-73.9768371,by CHLOE. Rock Center,40.7577274,-73.9788603
28,Mobivox,Montreal,CAN,45.500277,-73.560084,Starbucks,45.5007393,-73.55924,Montréal-Pierre Elliott Trudeau International Airport,45.46568509999999,-73.7454814,Centre Des Petits,45.5024981,-73.5611958,Somwhr Liquor Lounge,45.5015812,-73.55937279999999,LOV,45.500594,-73.5590632
29,3Jam,San Francisco,USA,37.765125,-122.4044034,Starbucks,37.7658845,-122.4034908,San Francisco International Airport,37.6213129,-122.3789554,Bright Horizons at Kansas Street,37.7666032,-122.403834,150 San Bruno,37.7675037,-122.4061855,Next Level Burger San Francisco,37.7646436,-122.4028183
30,Wikinvest,San Francisco,USA,37.775196,-122.419204,Starbucks,37.7770595,-122.417347,San Francisco International Airport,37.6213129,-122.3789554,Marin Day Schools Market Street,37.7772044,-122.4173489,"THEX RELIGIOÚZ ROMEX, ITALIAX!",37.7749295,-122.4194155,Ananda Fuara,37.7778739,-122.4162916
31,Polyvore,Mountain View,USA,37.386175,-122.083487,Starbucks,37.387571,-122.083068,Norman Y. Mineta San Jose International Airport,37.3639472,-121.9289375,Safari Kid - Mountain View,37.3867586,-122.0850181,Mountain view Masonic lodge,37.389414,-122.0841778,Amici's East Coast Pizzeria,37.3873831,-122.0833853
32,Tumblr,New York,USA,40.743808,-73.983626,Starbucks,40.744169,-73.983712,John F. Kennedy International Airport,40.6413111,-73.77813909999999,Patricia Carbine Children Center,40.7430573,-73.98617,Labyrinth,40.7424026,-73.98480400000001,Chennai Garden by Tiffin Wallah,40.742965,-73.9827576
33,EchoSign,Palo Alto,USA,37.445326,-122.160671,Starbucks,37.446791,-122.160561,San Francisco International Airport,37.6213129,-122.3789554,Downtown Children's Center,37.4468532,-122.1593046,The Patio,37.4451653,-122.1639246,Curry Up Now,37.4454771,-122.1601943
34,Eurekster,,USA,37.790992,-122.40188,Starbucks,37.790184,-122.402101,San Francisco International Airport,37.6213129,-122.3789554,Bright Horizons,37.7921109,-122.4039273,Steve Hevel,37.7915692,-122.4036761,The Plant Cafe Organic,37.79168980000001,-122.4023125
35,Songbird,San Francisco,USA,37.787126,-122.39783,Starbucks,37.784833,-122.39996,San Francisco International Airport,37.6213129,-122.3789554,Bright Horizons at 2nd Street,37.7848078,-122.3948994,Temple Nightclub San Francisco,37.787956,-122.3972472,sweetgreen,37.7872625,-122.3986346
36,Disqus,San Francisco,USA,37.786906,-122.397672,Starbucks,37.784833,-122.39996,San Francisco International Airport,37.6213129,-122.3789554,Bright Horizons at 2nd Street,37.7848078,-122.3948994,Temple Nightclub San Francisco,37.787956,-122.3972472,sweetgreen,37.7872625,-122.3986346
37,Pelago,Seattle,USA,47.607065,-122.335373,Starbucks,47.607304,-122.334259,Seattle-Tacoma International Airport,47.4502499,-122.3088165,Cosmopolitan Kids Downtown Academy,47.60568610000001,-122.3349966,Pink door,47.6062095,-122.3320708,Cafe Zum Zum,47.6046546,-122.3334554
38,Faves,Seattle,USA,47.603327,-122.334983,Starbucks,47.60378799999999,-122.335678,Seattle-Tacoma International Airport,47.4502499,-122.3088165,Kids Centre Inc Spring Street,47.605176,-122.337157,Trinity,47.6015129,-122.3332959,Cafe Zum Zum,47.6046546,-122.3334554
39,Plazes,Berlin,DEU,52.523402,13.398694,Starbucks,52.52329,13.40217,Berlin-Tegel Airport,52.5588327,13.2884374,Kinderinsel MITTEndrin,52.52182999999999,13.40174,Discothek Club XO-Berlin Inh. Lothar Fasen,52.5238254,13.4010695,Quy Nguyen,52.5237595,13.400492
40,Vringo,New York,USA,40.7550005,-73.9717364,Starbucks,40.75416999999999,-73.971732,John F. Kennedy International Airport,40.6413111,-73.77813909999999,Bright Horizons at E46th St,40.7538188,-73.9732642,#vicqueirozrecebe,40.7535354,-73.9715708,Hokey Poké,40.7553179,-73.970719
41,Zmags,Copenhagen,DNK,55.6839208,12.571492,Starbucks,55.6837993,12.5707606,Copenhagen Airport,55.6180236,12.6507628,Røde Ko i Centrum,55.680893,12.5763017,A R C H,55.68158210000001,12.5710349,Souls,55.6851802,12.5682149
42,WEbook,New York,USA,38.984172,-77.095965,Starbucks,38.9843169,-77.0945739,Ronald Reagan Washington National Airport,38.851242,-77.04023149999999,Wonders At Edgemoor Children,38.985416,-77.096021,Cesco Osteria & Co2 Lounge,38.9836717,-77.0958924,&pizza,38.985823,-77.09631089999999
43,BeliefNet,New York,USA,40.740231,-73.985433,Starbucks,40.74054,-73.98422099999999,John F. Kennedy International Airport,40.6413111,-73.77813909999999,Patricia Carbine Children Center,40.7430573,-73.98617,Wild Child,40.73988689999999,-73.98494,Kailash Parbat,40.7420625,-73.982706
44,HubPages,San Francisco,USA,37.7876952,-122.3991505,Starbucks,37.788673,-122.400874,San Francisco International Airport,37.6213129,-122.3789554,American Child Care Services,37.78939560000001,-122.3997317,Temple Nightclub San Francisco,37.787956,-122.3972472,sweetgreen,37.7872625,-122.3986346
45,Ribbit,Mountain View,USA,37.386665,-122.084171,Starbucks,37.387571,-122.083068,Norman Y. Mineta San Jose International Airport,37.3639472,-121.9289375,Safari Kid - Mountain View,37.3867586,-122.0850181,Mountain view Masonic lodge,37.389414,-122.0841778,Amici's East Coast Pizzeria,37.3873831,-122.0833853
46,WeShow,New York,USA,40.752516,-73.973072,Starbucks,40.751558,-73.97361699999999,John F. Kennedy International Airport,40.6413111,-73.77813909999999,Bright Horizons at E46th St,40.7538188,-73.9732642,#vicqueirozrecebe,40.7535354,-73.9715708,Chef's Secret,40.7532738,-73.9740893
47,PlayFirst,San Francisco,USA,37.790346,-122.40185,Starbucks,37.7896675,-122.4019931,San Francisco International Airport,37.6213129,-122.3789554,Bright Horizons,37.7921109,-122.4039273,Steve Hevel,37.7915692,-122.4036761,The Plant Cafe Organic,37.79168980000001,-122.4023125
48,Qik,Redwood City,USA,37.486368,-122.230116,Starbucks Reserve,37.486332,-122.229944,San Francisco International Airport,37.6213129,-122.3789554,Footsteps Child Care Inc,37.4852151,-122.226868,The Hub RWC,37.4863545,-122.2344049,Broadway Masala,37.4862527,-122.2308495
49,Bunchball,Redwood City,USA,37.3208403,-121.9479223,Starbucks,37.320964,-121.949113,Norman Y. Mineta San Jose International Airport,37.3639472,-121.9289375,KidsPark,37.3231786,-121.9447055,Sino,37.3200443,-121.9482996,Veggie Grill,37.3210366,-121.9490348
50,Outspark,San Francisco,USA,37.775196,-122.419204,Starbucks,37.7770595,-122.417347,San Francisco International Airport,37.6213129,-122.3789554,Marin Day Schools Market Street,37.7772044,-122.4173489,"THEX RELIGIOÚZ ROMEX, ITALIAX!",37.7749295,-122.4194155,Ananda Fuara,37.7778739,-122.4162916
51,Roost,San Francisco,USA,37.7891288,-122.4020276,Starbucks,37.7884614,-122.4034092,San Francisco International Airport,37.6213129,-122.3789554,American Child Care Services,37.78939560000001,-122.3997317,Harlot,37.7885694,-122.3981969,The Dosa Brothers: Montgomery Street,37.7889981,-122.4018906
52,Zynga,San Francisco,USA,37.765158,-122.404234,Starbucks,37.7658845,-122.4034908,San Francisco International Airport,37.6213129,-122.3789554,Bright Horizons at Kansas Street,37.7666032,-122.403834,The Great Northern,37.76753009999999,-122.4065656,Next Level Burger San Francisco,37.7646436,-122.4028183
53,Sharetivity,Palo Alto,USA,37.550954,-122.315396,Starbucks,37.552243,-122.31386,San Francisco International Airport,37.6213129,-122.3789554,Bay Tree Learning,37.5488706,-122.3173778,Roberto Lee Shipping,37.55031,-122.3139879,All Spice,37.55286410000001,-122.315668
54,VisualCV,Reston,USA,38.9530391,-77.3479238,Starbucks,38.95201,-77.347456,Dulles International Airport,38.9531162,-77.45653879999999,Childtime of Reston,38.9513153,-77.3466147,Chabad-Lubavitch of Reston and Herndon,38.9515131,-77.348939,Zoës Kitchen,38.9528053,-77.3494041
55,stickK,New York,USA,40.744837,-73.983843,Starbucks,40.744169,-73.983712,John F. Kennedy International Airport,40.6413111,-73.77813909999999,Patricia Carbine Children Center,40.7430573,-73.98617,Labyrinth,40.7424026,-73.98480400000001,Hangawi,40.7466013,-73.98476169999999
56,Social Gaming Network,Los Angeles,USA,37.446823,-122.161523,Starbucks,37.446791,-122.160561,San Francisco International Airport,37.6213129,-122.3789554,Downtown Children's Center,37.4468532,-122.1593046,The Patio,37.4451653,-122.1639246,Garden Fresh Chinese Vegan Cuisine,37.4455837,-122.162883
57,doubleTwist,San Francisco,USA,37.775196,-122.419204,Starbucks,37.7770595,-122.417347,San Francisco International Airport,37.6213129,-122.3789554,Marin Day Schools Market Street,37.7772044,-122.4173489,"THEX RELIGIOÚZ ROMEX, ITALIAX!",37.7749295,-122.4194155,Ananda Fuara,37.7778739,-122.4162916
58,Inform Technologies,New York,USA,40.744639,-73.983963,Starbucks,40.744169,-73.983712,John F. Kennedy International Airport,40.6413111,-73.77813909999999,Patricia Carbine Children Center,40.7430573,-73.98617,Labyrinth,40.7424026,-73.98480400000001,Hangawi,40.7466013,-73.98476169999999
59,SendMe,San Francisco,USA,37.787126,-122.39783,Starbucks,37.784833,-122.39996,San Francisco International Airport,37.6213129,-122.3789554,Bright Horizons at 2nd Street,37.7848078,-122.3948994,Temple Nightclub San Francisco,37.787956,-122.3972472,sweetgreen,37.7872625,-122.3986346
60,Blog Talk Radio,New York,USA,40.757929,-73.985506,Starbucks,40.75766,-73.98508,John F. Kennedy International Airport,40.6413111,-73.77813909999999,Child's Turn,40.7571537,-73.9865311,Paradise Club,40.759255,-73.984134,Green Symphony,40.7576912,-73.9885419
61,Outbrain,New York,USA,40.757929,-73.985506,Starbucks,40.75766,-73.98508,John F. Kennedy International Airport,40.6413111,-73.77813909999999,Child's Turn,40.7571537,-73.9865311,Paradise Club,40.759255,-73.984134,Green Symphony,40.7576912,-73.9885419
62,Generate,New York,USA,40.7570972,-73.969821,Starbucks,40.75743,-73.969128,John F. Kennedy International Airport,40.6413111,-73.77813909999999,Bright Horizons at Lexington,40.7572872,-73.9712797,Night Encounters New York,40.7578105,-73.97082189999999,Juice Press,40.7563319,-73.9706569
63,Tripology,New York,USA,40.746883,-73.983969,Starbucks,40.74850250000001,-73.9851667,John F. Kennedy International Airport,40.6413111,-73.77813909999999,Manhattan Nursery School,40.7477712,-73.9874152,Salsamania Saturdays,40.7488786,-73.98634310000001,Hangawi,40.7466013,-73.98476169999999
64,Giant Realm,New York,USA,40.7566658,-73.9827553,Starbucks,40.75559,-73.984106,John F. Kennedy International Airport,40.6413111,-73.77813909999999,Child's Turn,40.7571537,-73.9865311,Premiere Lounge,40.756903,-73.984376,Juice Press,40.7546722,-73.9854386
65,Next New Networks,New York,USA,40.743808,-73.983626,Starbucks,40.744169,-73.983712,John F. Kennedy International Airport,40.6413111,-73.77813909999999,Patricia Carbine Children Center,40.7430573,-73.98617,Labyrinth,40.7424026,-73.98480400000001,Chennai Garden by Tiffin Wallah,40.742965,-73.9827576
